STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/5/2012,5.14,,,0,0,,,38,21,290,280,12.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/6/2012,8.28,,,0,0,,,53,22,250,240,16.1,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/7/2012,10.29,,,0,0,,,48,28,300,300,25.9,33.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/8/2012,4.03,,,0,0,,,38,20,160,180,12.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/9/2012,4.47,,,0,0,,,47,24,310,320,17.9,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/10/2012,5.82,,,0,0,,,51,20,220,210,19.9,25.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/11/2012,8.72,,,0,0,,,41,27,350,330,23,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/12/2012,15.66,,,0,0,,,29,14,300,300,28,36.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/13/2012,8.05,,,0,0,,,45,20,290,290,23.9,32
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/14/2012,4.25,,,0,0,,,44,25,180,160,12.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/15/2012,2.91,,,0,0,,,49,32,310,310,14.1,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/16/2012,2.68,,,0.13,0,,,41,24,190,200,12.1,15
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/17/2012,7.83,,,0.01,0,,,51,34,320,320,15,19
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/18/2012,7.61,,,0,0,,,47,31,250,250,19.9,23.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/19/2012,6.49,,,0,0,,,46,28,330,330,13,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/20/2012,8.05,,,0,0,,,43,22,320,340,21,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/21/2012,7.16,,,0.02,0,,,44,17,180,160,23.9,31.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/22/2012,9.84,,,0,0,,,57,38,250,250,19,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/23/2012,6.26,,,0,0,,,52,31,300,300,25.9,33.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/24/2012,4.47,,,0.72,1.5,,,36,29,300,310,17.9,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/25/2012,17.67,,,0,0,,,44,30,290,300,38,46.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/26/2012,11.18,,,0,0,,,40,25,290,290,32,40.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/27/2012,8.05,,,0,0,,,53,19,170,160,21.9,30
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/28/2012,12.3,,,0,0,,,46,32,300,290,33.1,44.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/29/2012,4.7,,,0.59,4.4,,,37,29,10,360,15,17.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/1/2012,11.18,,,0.51,1.1,,,34,27,360,360,17.9,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/2/2012,4.92,,,0.09,0.3,,,34,26,360,360,13,16.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/3/2012,5.82,,,0.32,0,,,48,32,250,260,21.9,25.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/4/2012,4.25,,,0,0,,,42,27,310,320,17,21
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/5/2012,10.29,,,0,0,,,37,21,290,320,19.9,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/6/2012,5.37,,,0,0,,,41,15,260,250,13,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/7/2012,12.3,,,0,0,,,60,32,200,190,21.9,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/8/2012,15.66,,,0,0,,,68,43,200,200,29.1,40.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/9/2012,12.75,,,0.01,0,,,59,32,330,290,29.1,36
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/10/2012,8.28,,,0,0,,,43,27,290,280,23.9,32
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/11/2012,9.84,,,0,0,,,60,27,210,240,17,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/12/2012,5.82,,,0,0,,,74,30,180,180,17.9,23.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/13/2012,8.5,,,0.02,0,,,72,49,180,180,17.9,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/14/2012,7.61,,,0,0,,,67,42,310,300,19.9,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/15/2012,5.59,,,0,0,,,55,39,190,90,16.1,21
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/16/2012,6.49,,,0.04,0,,,49,41,160,160,13,15
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/17/2012,4.03,,,0,0,,,57,43,190,20,12.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/18/2012,8.05,,,0,0,,,72,39,170,180,16.1,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/19/2012,3.36,,,0,0,,,79,39,190,200,16.1,17.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/20/2012,6.26,,,0,0,,,79,46,170,210,17,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/21/2012,6.49,,,0,0,,,75,52,210,190,15,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/22/2012,6.71,,,0,0,,,83,54,260,250,14.1,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/23/2012,5.14,,,0,0,,,75,53,10,10,16.1,21
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/24/2012,6.93,,,0,0,,,64,49,190,190,17,19.9
